calibration,id,age,sex,handedness,nationality,Native language,completionCode
0.75,A10V97TRYZE3BI,37,female,right-handed,indian,hindi,aYJFs3Xewi1nGaM2

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
48,test,na,na,Motion,.png,target41-target54,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,48,168081,7,2307,0
41,test,na,na,Motion,.png,target6-target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,41,169688,7,1100,0
58,test,na,na,Motion,.png,target49,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,58,172794,1,2599,0
60,test,na,na,Motion,.png,target57,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,60,187547,5,14247,0
44,test,na,na,Motion,.png,target42-target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,44,190777,5,2722,0
45,test,na,na,Motion,.png,target46-target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,45,193246,5,1962,0
52,test,na,na,Motion,.png,target4,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,52,196311,8,2557,0
54,test,na,na,Motion,.png,target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,54,198044,8,1226,0
57,test,na,na,Motion,.png,target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,57,200804,8,2252,0
50,test,na,na,Motion,.png,target55-target16,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,50,203653,8,2340,0
53,test,na,na,Motion,.png,target8,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,53,206624,8,2463,0
55,test,na,na,Motion,.png,target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,55,209753,8,2622,0
42,test,na,na,Motion,.png,target10-target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,42,213034,8,2773,0
46,test,na,na,Motion,.png,target29-target14,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,46,216885,9,3343,0
59,test,na,na,Motion,.png,target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,59,220070,9,2677,0
51,test,na,na,Motion,.png,target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,51,222851,9,2273,0
47,test,na,na,Motion,.png,target35-target30,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,47,225651,9,2293,0
49,test,na,na,Motion,.png,target47-target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,49,232412,9,6254,0
43,test,na,na,Motion,.png,target13-target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,43,235556,9,2635,0
56,test,na,na,Motion,.png,target28,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,56,238861,9,2796,0
61,test,na,na,Meaning,.png,target6-target3,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,61,255318,11,2424,0
77,test,na,na,Meaning,.png,target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,77,258052,10,2226,0
68,test,na,na,Meaning,.png,target41-target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,68,262133,4,3573,0
76,test,na,na,Meaning,.png,target28,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,76,265149,11,2510,0
69,test,na,na,Meaning,.png,target47-target58,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,69,269092,11,3435,0
75,test,na,na,Meaning,.png,target27,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,75,272369,11,2770,0
72,test,na,na,Meaning,.png,target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,72,275302,11,2425,0
64,test,na,na,Meaning,.png,target42-target12,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,64,278154,11,2345,0
62,test,na,na,Meaning,.png,target10-target1,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,62,280984,11,2322,0
80,test,na,na,Meaning,.png,target57,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,80,284612,11,3120,0
65,test,na,na,Meaning,.png,target46-target15,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,65,287686,11,2566,0
63,test,na,na,Meaning,.png,target13-target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,63,290855,11,2661,0
67,test,na,na,Meaning,.png,target35-target30,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,67,293861,11,2498,0
78,test,na,na,Meaning,.png,target49,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,78,296950,11,2582,0
79,test,na,na,Meaning,.png,target56,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,79,299929,11,2472,0
74,test,na,na,Meaning,.png,target11,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,74,303140,11,2704,0
70,test,na,na,Meaning,.png,target55-target16,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,70,307256,11,3609,0
73,test,na,na,Meaning,.png,target8,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,73,312267,11,4504,0
66,test,na,na,Meaning,.png,target29-target14,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,66,316653,11,3878,0
71,test,na,na,Meaning,.png,target2,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,71,319960,11,2800,0
30,test,na,na,Emotion,.png,target55-target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,30,340172,11,3575,0
39,test,na,na,Emotion,.png,target56,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,39,342952,11,2272,0
27,test,na,na,Emotion,.png,target35-target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,43,27,345905,11,2445,0
34,test,na,na,Emotion,.png,target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,44,34,348737,11,2323,0
24,test,na,na,Emotion,.png,target42-target12,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,45,24,351932,11,2686,0
33,test,na,na,Emotion,.png,target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,46,33,354868,11,2428,0
26,test,na,na,Emotion,.png,target29-target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,47,26,357865,11,2490,0
35,test,na,na,Emotion,.png,target27,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,48,35,361002,11,2627,0
25,test,na,na,Emotion,.png,target46-target15,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,49,25,363826,11,2315,0
28,test,na,na,Emotion,.png,target41-target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,50,28,366980,11,2642,0
21,test,na,na,Emotion,.png,target6-target3,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,51,21,369784,11,2295,0
40,test,na,na,Emotion,.png,target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,52,40,373323,11,3031,0
36,test,na,na,Emotion,.png,target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,53,36,375113,11,1282,0
38,test,na,na,Emotion,.png,target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,54,38,378123,11,2503,0
37,test,na,na,Emotion,.png,target40,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,55,37,380207,11,1577,0
31,test,na,na,Emotion,.png,target2,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,56,31,382133,11,1419,0
22,test,na,na,Emotion,.png,target10-target1,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,57,22,384330,11,1689,0
