calibration,id,age,sex,handedness,nationality,Native language,completionCode
0.84,A1TGT6FVIZRNS5,31,male,right-handed,USA,English,FS99gZjh8vvaDqbY

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
53,test,na,na,Motion,.png,target8,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,53,80809,6,2050,0
49,test,na,na,Motion,.png,target47-target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,49,83641,5,2319,0
59,test,na,na,Motion,.png,target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,59,86649,8,2498,0
55,test,na,na,Motion,.png,target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,55,89217,3,2066,0
47,test,na,na,Motion,.png,target35-target30,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,47,91873,10,2152,0
54,test,na,na,Motion,.png,target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,54,94385,10,2010,0
48,test,na,na,Motion,.png,target41-target54,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,48,96985,7,2098,0
42,test,na,na,Motion,.png,target10-target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,42,99489,10,2002,0
44,test,na,na,Motion,.png,target42-target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,44,102352,8,2362,0
51,test,na,na,Motion,.png,target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,51,105049,9,2194,0
58,test,na,na,Motion,.png,target49,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,58,107632,6,2067,0
45,test,na,na,Motion,.png,target46-target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,45,109857,9,1715,0
57,test,na,na,Motion,.png,target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,57,112096,8,1737,0
60,test,na,na,Motion,.png,target57,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,60,114600,6,1998,0
56,test,na,na,Motion,.png,target28,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,56,117504,7,2397,0
41,test,na,na,Motion,.png,target6-target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,41,120448,10,2428,0
46,test,na,na,Motion,.png,target29-target14,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,46,123400,8,2450,0
43,test,na,na,Motion,.png,target13-target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,43,126048,7,2130,0
