calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A2AVEDMU2IZ47L,25,female,right-handed,Indian,Tamil,V2bybt53LiR5LHby

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
26,test,na,na,Emotion,.png,target29-target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,26,225758,7,2631,0
36,test,na,na,Emotion,.png,target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,36,228388,8,2124,0
40,test,na,na,Emotion,.png,target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,40,230934,5,2041,0
25,test,na,na,Emotion,.png,target46-target15,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,25,233144,6,1704,0
22,test,na,na,Emotion,.png,target10-target1,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,22,236102,9,2454,0
39,test,na,na,Emotion,.png,target56,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,39,240223,10,3614,0
30,test,na,na,Emotion,.png,target55-target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,30,242396,5,1668,0
32,test,na,na,Emotion,.png,target4,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,32,244045,6,1145,0
38,test,na,na,Emotion,.png,target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,38,247318,3,2767,0
33,test,na,na,Emotion,.png,target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,33,249439,3,1616,0
35,test,na,na,Emotion,.png,target27,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,35,250910,4,965,0
24,test,na,na,Emotion,.png,target42-target12,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,24,252678,5,1262,0
37,test,na,na,Emotion,.png,target40,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,37,254478,6,1294,0
29,test,na,na,Emotion,.png,target47-target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,29,256206,5,1222,0
23,test,na,na,Emotion,.png,target13-target59,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,23,257998,6,1286,0
28,test,na,na,Emotion,.png,target41-target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,28,259870,6,1367,0
31,test,na,na,Emotion,.png,target2,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,31,261133,7,758,0
21,test,na,na,Emotion,.png,target6-target3,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,21,262733,8,1093,0
27,test,na,na,Emotion,.png,target35-target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,27,264341,9,1101,0
34,test,na,na,Emotion,.png,target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,34,266245,4,1398,0
18,test,na,na,Intent,.png,target49,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,18,301926,5,1226,0
15,test,na,na,Intent,.png,target27,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,15,302965,6,533,0
11,test,na,na,Intent,.png,target2,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,11,304108,8,640,0
19,test,na,na,Intent,.png,target56,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,19,305459,8,838,0
4,test,na,na,Intent,.png,target42-target12,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,4,307815,6,1842,0
2,test,na,na,Intent,.png,target10-target1,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,2,309158,9,840,0
13,test,na,na,Intent,.png,target8,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,13,311798,10,2133,0
17,test,na,na,Intent,.png,target40,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,17,313364,9,1060,0
14,test,na,na,Intent,.png,target11,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,14,314596,7,726,0
7,test,na,na,Intent,.png,target35-target30,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,7,323494,7,8392,0
3,test,na,na,Intent,.png,target13-target59,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,3,324990,8,989,0
20,test,na,na,Intent,.png,target57,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,20,326022,9,527,0
10,test,na,na,Intent,.png,target55-target16,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,10,327206,7,678,0
6,test,na,na,Intent,.png,target29-target14,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,6,328230,8,518,0
1,test,na,na,Intent,.png,target6-target3,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,1,330134,10,1398,0
