calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A3QI1RV4HQ9MOC,25,male,left-handed,indian,tamil,1VeqTRtXdTwaSl2F

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
36,test,na,na,Emotion,.png,target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,36,118608,7,1301,0
39,test,na,na,Emotion,.png,target56,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,39,120480,8,1364,0
33,test,na,na,Emotion,.png,target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,33,122476,11,1488,0
31,test,na,na,Emotion,.png,target2,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,31,124571,8,1586,0
23,test,na,na,Emotion,.png,target13-target59,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,23,126689,9,1610,0
40,test,na,na,Emotion,.png,target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,40,128851,10,1622,0
26,test,na,na,Emotion,.png,target29-target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,26,130188,9,829,0
27,test,na,na,Emotion,.png,target35-target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,27,131815,7,1117,0
37,test,na,na,Emotion,.png,target40,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,37,133646,11,1324,0
30,test,na,na,Emotion,.png,target55-target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,30,135295,7,1139,0
35,test,na,na,Emotion,.png,target27,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,35,136864,9,1061,0
21,test,na,na,Emotion,.png,target6-target3,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,21,138090,8,714,0
29,test,na,na,Emotion,.png,target47-target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,29,139314,10,716,0
34,test,na,na,Emotion,.png,target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,34,140393,8,570,0
25,test,na,na,Emotion,.png,target46-target15,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,25,142460,11,1559,0
38,test,na,na,Emotion,.png,target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,38,145484,11,2511,0
32,test,na,na,Emotion,.png,target4,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,32,146996,8,1005,0
22,test,na,na,Emotion,.png,target10-target1,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,22,148355,9,853,0
28,test,na,na,Emotion,.png,target41-target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,28,149414,8,549,0
24,test,na,na,Emotion,.png,target42-target12,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,24,150418,9,493,0
65,test,na,na,Meaning,.png,target46-target15,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,65,157525,7,784,0
76,test,na,na,Meaning,.png,target28,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,76,158572,7,542,0
63,test,na,na,Meaning,.png,target13-target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,63,159570,8,491,0
80,test,na,na,Meaning,.png,target57,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,80,160761,9,684,0
71,test,na,na,Meaning,.png,target2,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,71,162038,8,768,0
74,test,na,na,Meaning,.png,target11,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,74,163067,9,521,0
79,test,na,na,Meaning,.png,target56,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,79,164033,10,458,0
70,test,na,na,Meaning,.png,target55-target16,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,70,165107,11,567,0
67,test,na,na,Meaning,.png,target35-target30,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,67,166073,9,460,0
62,test,na,na,Meaning,.png,target10-target1,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,62,167008,8,426,0
69,test,na,na,Meaning,.png,target47-target58,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,69,168017,7,503,0
68,test,na,na,Meaning,.png,target41-target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,68,168978,8,454,0
64,test,na,na,Meaning,.png,target42-target12,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,64,169922,9,437,0
77,test,na,na,Meaning,.png,target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,77,170980,10,552,0
72,test,na,na,Meaning,.png,target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,72,172105,10,618,0
61,test,na,na,Meaning,.png,target6-target3,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,61,173292,9,680,0
75,test,na,na,Meaning,.png,target27,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,75,174702,10,902,0
66,test,na,na,Meaning,.png,target29-target14,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,66,175798,9,584,0
73,test,na,na,Meaning,.png,target8,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,73,176718,10,413,0
78,test,na,na,Meaning,.png,target49,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,78,177644,9,399,0
51,test,na,na,Motion,.png,target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,51,185271,7,857,0
57,test,na,na,Motion,.png,target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,57,186250,8,470,0
