calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A1NJ0J3SCP668A,40,male,right-handed,United States,english,3GqGFEX7QKPLKVWn

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
70,test,na,na,Meaning,.png,target57-target27,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,70,111086,5,3599,0
73,test,na,na,Meaning,.png,target6,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,73,114276,3,2685,0
75,test,na,na,Meaning,.png,target12,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,75,116911,1,2128,0
76,test,na,na,Meaning,.png,target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,76,120279,7,2861,0
65,test,na,na,Meaning,.png,target58-target47,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,65,123300,7,2516,0
71,test,na,na,Meaning,.png,target1,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,71,125741,2,1936,0
67,test,na,na,Meaning,.png,target11-target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,67,129355,5,3110,0
66,test,na,na,Meaning,.png,target8-target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,66,133626,4,3761,0
79,test,na,na,Meaning,.png,target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,79,137748,6,3606,0
64,test,na,na,Meaning,.png,target54-target41,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,64,141576,9,3323,0
74,test,na,na,Meaning,.png,target10,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,74,144790,6,2709,0
78,test,na,na,Meaning,.png,target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,78,147351,6,2054,0
69,test,na,na,Meaning,.png,target49-target2,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,69,150393,4,2538,0
63,test,na,na,Meaning,.png,target30-target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,63,155160,9,4262,0
77,test,na,na,Meaning,.png,target15,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,77,158639,8,2975,0
61,test,na,na,Meaning,.png,target14-target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,61,163408,2,4253,0
62,test,na,na,Meaning,.png,target16-target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,62,167416,3,3504,0
80,test,na,na,Meaning,.png,target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,80,170173,6,2248,0
72,test,na,na,Meaning,.png,target3,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,72,173985,3,3304,0
68,test,na,na,Meaning,.png,target28-target56,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,68,177612,2,3122,0
21,test,na,na,Emotion,.png,target14-target29,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,21,200434,2,2831,0
26,test,na,na,Emotion,.png,target8-target40,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,26,203149,4,2207,0
37,test,na,na,Emotion,.png,target15,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,37,205887,6,2232,0
30,test,na,na,Emotion,.png,target57-target27,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,30,208077,7,1683,0
32,test,na,na,Emotion,.png,target3,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,32,211008,3,2425,0
38,test,na,na,Emotion,.png,target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,38,213626,2,2111,0
28,test,na,na,Emotion,.png,target28-target56,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,28,216891,4,2753,0
35,test,na,na,Emotion,.png,target12,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,35,219219,2,1821,0
34,test,na,na,Emotion,.png,target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,34,221837,7,2113,0
33,test,na,na,Emotion,.png,target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,33,224360,3,2017,0
40,test,na,na,Emotion,.png,target59,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,40,226449,6,1584,0
27,test,na,na,Emotion,.png,target11-target4,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,27,229837,2,2879,0
36,test,na,na,Emotion,.png,target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,36,232740,7,2398,0
24,test,na,na,Emotion,.png,target54-target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,24,235151,8,1904,0
39,test,na,na,Emotion,.png,target46,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,39,238355,4,2699,0
25,test,na,na,Emotion,.png,target58-target47,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,25,241733,7,2871,0
29,test,na,na,Emotion,.png,target49-target2,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,29,245746,2,3508,0
22,test,na,na,Emotion,.png,target16-target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,22,248962,7,2712,0
23,test,na,na,Emotion,.png,target30-target35,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,23,251660,9,2194,0
31,test,na,na,Emotion,.png,target1,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,31,254016,3,1851,0
2,test,na,na,Intent,.png,target16-target55,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,2,271163,5,2148,0
14,test,na,na,Intent,.png,target10,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,14,273350,9,1678,0
10,test,na,na,Intent,.png,target57-target27,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,43,10,275314,7,1460,0
5,test,na,na,Intent,.png,target58-target47,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,44,5,277097,8,1279,0
20,test,na,na,Intent,.png,target59,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,45,20,278696,8,1093,0
15,test,na,na,Intent,.png,target12,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,46,15,280325,8,1123,0
4,test,na,na,Intent,.png,target54-target41,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,47,4,282155,8,1326,0
19,test,na,na,Intent,.png,target46,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,48,19,284149,9,1488,0
8,test,na,na,Intent,.png,target28-target56,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,49,8,286266,7,1612,0
6,test,na,na,Intent,.png,target8-target40,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,50,6,288567,6,1796,0
11,test,na,na,Intent,.png,target1,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,51,11,290807,3,1733,0
16,test,na,na,Intent,.png,target13,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,52,16,293419,5,2107,0
9,test,na,na,Intent,.png,target49-target2,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,53,9,295816,2,1891,0
7,test,na,na,Intent,.png,target11-target4,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,54,7,298642,6,2319,0
12,test,na,na,Intent,.png,target3,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,55,12,301494,5,2346,0
18,test,na,na,Intent,.png,target42,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,56,18,304148,2,2148,0
13,test,na,na,Intent,.png,target6,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,57,13,308101,3,3447,0
1,test,na,na,Intent,.png,target14-target29,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,58,1,310590,2,1983,0
3,test,na,na,Intent,.png,target30-target35,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,59,3,313045,8,1951,0
17,test,na,na,Intent,.png,target15,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,60,17,316149,9,2598,0
51,test,na,na,Motion,.png,target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,61,51,334898,8,1315,0
46,test,na,na,Motion,.png,target8-target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,62,46,336755,9,1347,0
47,test,na,na,Motion,.png,target11-target4,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,63,47,338733,10,1472,0
42,test,na,na,Motion,.png,target16-target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,64,42,341531,6,2292,0
53,test,na,na,Motion,.png,target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,65,53,343574,9,1533,0
58,test,na,na,Motion,.png,target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,66,58,345900,5,1820,0
48,test,na,na,Motion,.png,target28-target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,67,48,347898,9,1425,0
56,test,na,na,Motion,.png,target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,68,56,350084,7,1675,0
44,test,na,na,Motion,.png,target54-target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,69,44,351940,7,1342,0
60,test,na,na,Motion,.png,target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,70,60,353715,7,1266,0
49,test,na,na,Motion,.png,target49-target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,71,49,355780,10,1559,0
41,test,na,na,Motion,.png,target14-target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,72,41,357987,6,1701,0
43,test,na,na,Motion,.png,target30-target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,73,43,360291,10,1799,0
54,test,na,na,Motion,.png,target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,74,54,363456,4,2661,0
52,test,na,na,Motion,.png,target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,75,52,365319,8,1358,0
50,test,na,na,Motion,.png,target57-target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,76,50,368055,6,2231,0
55,test,na,na,Motion,.png,target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,77,55,370350,6,1789,0
45,test,na,na,Motion,.png,target58-target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,78,45,372712,8,1858,0
57,test,na,na,Motion,.png,target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,79,57,375497,8,2280,0
59,test,na,na,Motion,.png,target46,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,80,59,377271,9,1268,0
