calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A1Z7S5WSYCVE0K,25,male,right-handed,INDIAN ,TAMIL,5HZD4wThYsjgGUSj

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
75,test,na,na,Meaning,.png,target12,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,75,78612,9,1169,0
63,test,na,na,Meaning,.png,target30-target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,63,80202,8,1075,0
79,test,na,na,Meaning,.png,target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,79,81859,6,1152,0
80,test,na,na,Meaning,.png,target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,80,83418,7,1042,0
68,test,na,na,Meaning,.png,target28-target56,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,68,84931,8,1004,0
61,test,na,na,Meaning,.png,target14-target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,61,86283,6,844,0
62,test,na,na,Meaning,.png,target16-target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,62,87724,6,935,0
76,test,na,na,Meaning,.png,target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,76,89125,7,893,0
66,test,na,na,Meaning,.png,target8-target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,66,90988,8,1356,0
70,test,na,na,Meaning,.png,target57-target27,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,70,92530,7,1034,0
67,test,na,na,Meaning,.png,target11-target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,67,94230,8,1193,0
