calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A25ZRQBJFOIQNA,62,male,right-handed,Caucasion,English,deRXdBkNGOhwkwu2

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
19,test,na,na,Intent,.png,target46,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,19,68758,11,1346,0
13,test,na,na,Intent,.png,target6,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,13,70822,11,1541,0
5,test,na,na,Intent,.png,target58-target47,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,5,72967,6,1630,0
9,test,na,na,Intent,.png,target49-target2,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,9,74991,8,1511,0
7,test,na,na,Intent,.png,target11-target4,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,7,76847,11,1339,0
3,test,na,na,Intent,.png,target30-target35,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,3,78551,11,1188,0
20,test,na,na,Intent,.png,target59,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,20,80486,1,1418,0
12,test,na,na,Intent,.png,target3,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,12,83135,3,2141,0
2,test,na,na,Intent,.png,target16-target55,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,2,85271,6,1626,0
10,test,na,na,Intent,.png,target57-target27,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,10,86782,6,996,0
17,test,na,na,Intent,.png,target15,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,17,89055,1,1756,0
18,test,na,na,Intent,.png,target42,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,18,91120,11,1548,0
15,test,na,na,Intent,.png,target12,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,15,92687,11,1048,0
16,test,na,na,Intent,.png,target13,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,16,94134,11,931,0
11,test,na,na,Intent,.png,target1,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,11,96095,6,1437,0
1,test,na,na,Intent,.png,target14-target29,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,1,97903,11,1285,0
14,test,na,na,Intent,.png,target10,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,14,99767,1,1348,0
6,test,na,na,Intent,.png,target8-target40,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,6,101959,6,1663,0
4,test,na,na,Intent,.png,target54-target41,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,4,103815,11,1334,0
8,test,na,na,Intent,.png,target28-target56,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,8,105670,6,1350,0
50,test,na,na,Motion,.png,target57-target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,50,118783,3,3398,0
56,test,na,na,Motion,.png,target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,56,121351,8,2048,0
60,test,na,na,Motion,.png,target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,60,124142,2,2275,0
43,test,na,na,Motion,.png,target30-target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,43,125887,11,1225,0
48,test,na,na,Motion,.png,target28-target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,48,127742,6,1346,0
55,test,na,na,Motion,.png,target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,55,129326,11,1077,0
49,test,na,na,Motion,.png,target49-target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,49,131294,11,1449,0
51,test,na,na,Motion,.png,target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,51,132950,11,1145,0
42,test,na,na,Motion,.png,target16-target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,42,135080,8,1616,0
47,test,na,na,Motion,.png,target11-target4,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,47,136926,11,1339,0
54,test,na,na,Motion,.png,target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,54,139008,1,1561,0
45,test,na,na,Motion,.png,target58-target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,45,140654,11,1134,0
52,test,na,na,Motion,.png,target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,52,142464,11,1286,0
57,test,na,na,Motion,.png,target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,57,144950,3,1981,0
44,test,na,na,Motion,.png,target54-target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,44,146782,11,1315,0
58,test,na,na,Motion,.png,target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,58,149223,8,1914,0
59,test,na,na,Motion,.png,target46,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,59,151142,11,1412,0
53,test,na,na,Motion,.png,target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,53,152823,11,1166,0
41,test,na,na,Motion,.png,target14-target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,41,154158,11,819,0
46,test,na,na,Motion,.png,target8-target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,46,156215,7,1550,0
67,test,na,na,Meaning,.png,target11-target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,67,168046,5,2107,0
78,test,na,na,Meaning,.png,target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,78,170974,1,2410,0
63,test,na,na,Meaning,.png,target30-target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,43,63,173078,7,1582,0
70,test,na,na,Meaning,.png,target57-target27,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,44,70,175254,4,1663,0
69,test,na,na,Meaning,.png,target49-target2,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,45,69,177111,11,1341,0
80,test,na,na,Meaning,.png,target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,46,80,179863,11,2227,0
79,test,na,na,Meaning,.png,target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,47,79,181382,11,1008,0
61,test,na,na,Meaning,.png,target14-target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,48,61,183438,9,1542,0
62,test,na,na,Meaning,.png,target16-target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,49,62,185304,7,1351,0
73,test,na,na,Meaning,.png,target6,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,50,73,187006,6,1193,0
74,test,na,na,Meaning,.png,target10,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,51,74,189240,1,1709,0
68,test,na,na,Meaning,.png,target28-target56,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,52,68,190832,11,1073,0
65,test,na,na,Meaning,.png,target58-target47,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,53,65,192310,11,972,0
66,test,na,na,Meaning,.png,target8-target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,54,66,194655,7,1827,0
72,test,na,na,Meaning,.png,target3,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,55,72,196431,6,1261,0
75,test,na,na,Meaning,.png,target12,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,56,75,198670,1,1731,0
64,test,na,na,Meaning,.png,target54-target41,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,57,64,200334,11,1141,0
77,test,na,na,Meaning,.png,target15,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,58,77,202886,2,2036,0
71,test,na,na,Meaning,.png,target1,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,59,71,204710,11,1313,0
76,test,na,na,Meaning,.png,target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,60,76,206158,11,939,0
39,test,na,na,Emotion,.png,target46,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,61,39,219302,11,1524,0
24,test,na,na,Emotion,.png,target54-target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,62,24,220614,11,800,0
40,test,na,na,Emotion,.png,target59,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,63,40,222558,1,1420,0
21,test,na,na,Emotion,.png,target14-target29,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,64,21,224621,11,1542,0
38,test,na,na,Emotion,.png,target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,65,38,226670,1,1531,0
33,test,na,na,Emotion,.png,target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,66,33,229007,6,1820,0
36,test,na,na,Emotion,.png,target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,67,36,230862,7,1340,0
30,test,na,na,Emotion,.png,target57-target27,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,68,30,232727,1,1351,0
26,test,na,na,Emotion,.png,target8-target40,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,69,26,234182,1,933,0
34,test,na,na,Emotion,.png,target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,70,34,237694,4,2990,0
29,test,na,na,Emotion,.png,target49-target2,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,71,29,240197,9,1997,0
23,test,na,na,Emotion,.png,target30-target35,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,72,23,242494,11,1789,0
32,test,na,na,Emotion,.png,target3,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,73,32,244527,6,1517,0
27,test,na,na,Emotion,.png,target11-target4,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,74,27,247279,9,2246,0
22,test,na,na,Emotion,.png,target16-target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,75,22,249006,11,1213,0
25,test,na,na,Emotion,.png,target58-target47,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,76,25,250270,11,740,0
35,test,na,na,Emotion,.png,target12,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,77,35,252198,1,1411,0
28,test,na,na,Emotion,.png,target28-target56,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,78,28,255118,9,2397,0
31,test,na,na,Emotion,.png,target1,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,79,31,257047,7,1412,0
37,test,na,na,Emotion,.png,target15,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,80,37,259184,1,1625,0
