calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A2D4E1C1UD7ZK6,28,female,right-handed,INDIAN,ENGLISH,f9CXvW784ShMPMQg

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
47,test,na,na,Motion,.png,target11-target4,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,47,63372,9,935,0
50,test,na,na,Motion,.png,target57-target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,50,64580,4,704,0
43,test,na,na,Motion,.png,target30-target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,43,65676,7,593,0
42,test,na,na,Motion,.png,target16-target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,42,66811,8,631,0
46,test,na,na,Motion,.png,target8-target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,46,68396,10,1080,0
55,test,na,na,Motion,.png,target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,55,69476,9,577,0
54,test,na,na,Motion,.png,target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,54,70539,8,560,0
59,test,na,na,Motion,.png,target46,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,59,71731,9,687,0
48,test,na,na,Motion,.png,target28-target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,48,72844,8,608,0
49,test,na,na,Motion,.png,target49-target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,49,73884,7,536,0
41,test,na,na,Motion,.png,target14-target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,41,75051,10,665,0
58,test,na,na,Motion,.png,target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,58,76276,9,718,0
56,test,na,na,Motion,.png,target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,56,77307,7,528,0
60,test,na,na,Motion,.png,target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,60,78668,6,855,0
57,test,na,na,Motion,.png,target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,57,80717,9,1545,0
53,test,na,na,Motion,.png,target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,53,81955,10,733,0
44,test,na,na,Motion,.png,target54-target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,44,83043,7,585,0
51,test,na,na,Motion,.png,target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,51,84315,5,769,0
52,test,na,na,Motion,.png,target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,52,85883,10,1063,0
45,test,na,na,Motion,.png,target58-target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,45,86995,8,608,0
1,test,na,na,Intent,.png,target14-target29,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,1,111019,7,1192,0
14,test,na,na,Intent,.png,target10,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,14,112491,9,968,0
11,test,na,na,Intent,.png,target1,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,11,113467,6,473,0
18,test,na,na,Intent,.png,target42,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,18,114460,9,490,0
4,test,na,na,Intent,.png,target54-target41,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,4,115556,10,592,0
16,test,na,na,Intent,.png,target13,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,16,116515,7,455,0
7,test,na,na,Intent,.png,target11-target4,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,7,122699,7,5679,0
19,test,na,na,Intent,.png,target46,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,19,124979,8,1776,0
9,test,na,na,Intent,.png,target49-target2,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,9,125955,9,472,0
2,test,na,na,Intent,.png,target16-target55,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,2,127227,10,767,0
5,test,na,na,Intent,.png,target58-target47,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,5,128531,8,800,0
