calibration,id,age,sex,handedness,nationality,Native language,completionCode
1.09,A8VFIXE5FL8C6,25,female,right-handed,United States,English,9QpiCL52EWSjlIQ5

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
60,test,na,na,Motion,.png,target59,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,60,172142,2,2369,0
53,test,na,na,Motion,.png,target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,53,174703,7,2057,0
54,test,na,na,Motion,.png,target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,54,179042,3,3830,0
43,test,na,na,Motion,.png,target30-target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,43,182806,8,3246,0
56,test,na,na,Motion,.png,target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,56,186087,6,2774,0
52,test,na,na,Motion,.png,target3,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,52,191395,8,4791,0
55,test,na,na,Motion,.png,target12,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,55,194296,5,2386,0
45,test,na,na,Motion,.png,target58-target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,45,197954,6,3145,0
49,test,na,na,Motion,.png,target49-target2,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,49,201246,9,2790,0
50,test,na,na,Motion,.png,target57-target27,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,50,205014,2,3255,0
57,test,na,na,Motion,.png,target15,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,57,207926,2,2409,0
58,test,na,na,Motion,.png,target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,58,211523,2,3084,0
42,test,na,na,Motion,.png,target16-target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,42,214218,4,2181,0
48,test,na,na,Motion,.png,target28-target56,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,48,217264,7,2539,0
51,test,na,na,Motion,.png,target1,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,51,220083,7,2304,0
46,test,na,na,Motion,.png,target8-target40,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,46,222806,8,2204,0
41,test,na,na,Motion,.png,target14-target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,41,225534,7,2226,0
59,test,na,na,Motion,.png,target46,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,59,228552,7,2507,0
47,test,na,na,Motion,.png,target11-target4,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,47,231704,10,2645,0
44,test,na,na,Motion,.png,target54-target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,44,234902,2,2691,0
72,test,na,na,Meaning,.png,target3,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,72,253839,4,3366,0
80,test,na,na,Meaning,.png,target59,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,80,256782,7,2425,0
63,test,na,na,Meaning,.png,target30-target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,63,259671,11,2375,0
67,test,na,na,Meaning,.png,target11-target4,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,67,262810,1,2631,0
69,test,na,na,Meaning,.png,target49-target2,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,69,265782,2,2468,0
66,test,na,na,Meaning,.png,target8-target40,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,66,269128,1,2833,0
78,test,na,na,Meaning,.png,target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,78,273198,7,3565,0
64,test,na,na,Meaning,.png,target54-target41,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,64,276118,11,2405,0
77,test,na,na,Meaning,.png,target15,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,77,278902,6,2273,0
71,test,na,na,Meaning,.png,target1,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,71,281862,4,2457,0
