calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A1F8ZAE0P2RA8O,25,female,right-handed,Indian,English,Qt6pvl95tMur4R4b

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
40,test,na,na,Emotion,.png,target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,40,76616,7,1072,0
28,test,na,na,Emotion,.png,target12-target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,28,78161,4,1042,0
22,test,na,na,Emotion,.png,target4-target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,22,79608,9,944,0
24,test,na,na,Emotion,.png,target40-target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,24,81369,10,1258,0
31,test,na,na,Emotion,.png,target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,31,82872,4,1001,0
34,test,na,na,Emotion,.png,target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,34,84497,3,1123,0
27,test,na,na,Emotion,.png,target3-target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,27,86192,2,1193,0
26,test,na,na,Emotion,.png,target1-target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,26,87736,3,1042,0
39,test,na,na,Emotion,.png,target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,39,89040,4,801,0
36,test,na,na,Emotion,.png,target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,36,90441,6,898,0
32,test,na,na,Emotion,.png,target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,32,91920,3,972,0
30,test,na,na,Emotion,.png,target59-target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,30,94176,2,1753,0
21,test,na,na,Emotion,.png,target2-target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,21,95632,3,945,0
23,test,na,na,Emotion,.png,target27-target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,23,97120,5,977,0
