calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A1TK0ZMZ571GG0,36,male,ambidextrous,INDIA,ENGLISH,JFOVyDcsM4W4jZo6

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
40,test,na,na,Emotion,.png,target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,40,244654,9,1370,0
28,test,na,na,Emotion,.png,target12-target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,28,246495,6,1325,0
36,test,na,na,Emotion,.png,target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,36,248198,7,1189,0
22,test,na,na,Emotion,.png,target4-target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,22,249855,8,1147,0
27,test,na,na,Emotion,.png,target3-target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,27,251487,9,1124,0
37,test,na,na,Emotion,.png,target47,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,37,253255,6,1255,0
39,test,na,na,Emotion,.png,target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,39,254927,7,1160,0
30,test,na,na,Emotion,.png,target59-target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,30,256590,8,1150,0
33,test,na,na,Emotion,.png,target29,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,33,258654,7,1548,0
21,test,na,na,Emotion,.png,target2-target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,21,260486,9,1322,0
26,test,na,na,Emotion,.png,target1-target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,26,263926,9,2934,0
23,test,na,na,Emotion,.png,target27-target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,23,265601,8,1160,0
24,test,na,na,Emotion,.png,target40-target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,24,267350,9,1235,0
25,test,na,na,Emotion,.png,target56-target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,25,269639,9,1773,0
38,test,na,na,Emotion,.png,target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,38,271423,10,1274,0
31,test,na,na,Emotion,.png,target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,31,272982,7,1042,0
35,test,na,na,Emotion,.png,target35,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,35,274903,8,1405,0
34,test,na,na,Emotion,.png,target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,34,276903,9,1483,0
29,test,na,na,Emotion,.png,target15-target46,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,29,279174,8,1757,0
32,test,na,na,Emotion,.png,target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,32,285647,8,5958,0
72,test,na,na,Meaning,.png,target16,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,72,299926,9,1196,0
65,test,na,na,Meaning,.png,target56-target28,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,65,301343,10,912,0
79,test,na,na,Meaning,.png,target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,79,302791,9,943,0
62,test,na,na,Meaning,.png,target4-target11,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,62,304087,8,791,0
61,test,na,na,Meaning,.png,target2-target49,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,61,305455,9,863,0
76,test,na,na,Meaning,.png,target41,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,76,306838,10,876,0
71,test,na,na,Meaning,.png,target14,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,71,309374,10,2028,0
73,test,na,na,Meaning,.png,target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,73,311031,9,1151,0
80,test,na,na,Meaning,.png,target58,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,80,312942,9,1405,0
78,test,na,na,Meaning,.png,target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,78,314079,9,627,0
70,test,na,na,Meaning,.png,target59-target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,70,315263,9,674,0
74,test,na,na,Meaning,.png,target30,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,74,316918,8,1150,0
64,test,na,na,Meaning,.png,target40-target8,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,64,318367,7,940,0
77,test,na,na,Meaning,.png,target47,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,77,319710,10,838,0
66,test,na,na,Meaning,.png,target1-target10,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,66,328487,8,8269,0
68,test,na,na,Meaning,.png,target12-target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,68,329854,9,850,0
75,test,na,na,Meaning,.png,target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,75,331270,10,906,0
69,test,na,na,Meaning,.png,target15-target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,69,334686,8,2901,0
67,test,na,na,Meaning,.png,target3-target6,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,67,336487,7,1287,0
63,test,na,na,Meaning,.png,target27-target57,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,63,338302,8,1299,0
18,test,na,na,Intent,.png,target54,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,18,350974,9,1220,0
12,test,na,na,Intent,.png,target16,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,12,352390,10,907,0
8,test,na,na,Intent,.png,target12-target42,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,43,8,353702,9,797,0
13,test,na,na,Intent,.png,target29,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,44,13,355031,10,813,0
19,test,na,na,Intent,.png,target55,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,45,19,356238,10,694,0
14,test,na,na,Intent,.png,target30,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,46,14,358302,9,1546,0
3,test,na,na,Intent,.png,target27-target57,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,47,3,364774,9,5953,0
1,test,na,na,Intent,.png,target2-target49,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,48,1,366447,10,1155,0
15,test,na,na,Intent,.png,target35,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,49,15,368223,10,1260,0
20,test,na,na,Intent,.png,target58,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,50,20,369886,10,1148,0
10,test,na,na,Intent,.png,target59-target13,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,51,10,371606,9,1204,0
4,test,na,na,Intent,.png,target40-target8,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,52,4,373678,11,1557,0
2,test,na,na,Intent,.png,target4-target11,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,53,2,375127,10,939,0
6,test,na,na,Intent,.png,target1-target10,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,54,6,376503,10,862,0
7,test,na,na,Intent,.png,target3-target6,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,55,7,378118,10,1100,0
17,test,na,na,Intent,.png,target47,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,56,17,379383,9,749,0
5,test,na,na,Intent,.png,target56-target28,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,57,5,380406,9,510,0
11,test,na,na,Intent,.png,target14,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,58,11,381375,8,453,0
16,test,na,na,Intent,.png,target41,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,59,16,383126,7,1240,0
9,test,na,na,Intent,.png,target15-target46,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,60,9,384551,7,909,0
56,test,na,na,Motion,.png,target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,61,56,402558,9,1459,0
42,test,na,na,Motion,.png,target4-target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,62,42,403615,10,542,0
50,test,na,na,Motion,.png,target59-target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,63,50,405766,10,1633,0
45,test,na,na,Motion,.png,target56-target28,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,64,45,406782,10,501,0
57,test,na,na,Motion,.png,target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,65,57,407854,9,556,0
49,test,na,na,Motion,.png,target15-target46,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,66,49,409615,10,1241,0
48,test,na,na,Motion,.png,target12-target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,67,48,411830,9,1701,0
55,test,na,na,Motion,.png,target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,68,55,413535,10,1191,0
52,test,na,na,Motion,.png,target16,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,69,52,415358,9,1308,0
43,test,na,na,Motion,.png,target27-target57,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,70,43,416991,10,1118,0
53,test,na,na,Motion,.png,target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,71,53,418407,10,901,0
60,test,na,na,Motion,.png,target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,72,60,419878,9,956,0
51,test,na,na,Motion,.png,target14,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,73,51,422159,8,1771,0
47,test,na,na,Motion,.png,target3-target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,74,47,423294,9,629,0
54,test,na,na,Motion,.png,target30,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,75,54,424622,9,819,0
58,test,na,na,Motion,.png,target54,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,76,58,426463,10,1331,0
46,test,na,na,Motion,.png,target1-target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,77,46,428630,9,1662,0
44,test,na,na,Motion,.png,target40-target8,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,78,44,430295,10,1156,0
59,test,na,na,Motion,.png,target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,79,59,431550,9,750,0
41,test,na,na,Motion,.png,target2-target49,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,80,41,432606,8,550,0
