calibration,id,age,sex,handedness,nationality,Native language,completionCode
0.56,A29TIW8IR8T7JV,35,male,right-handed,American,English,JEKyC5podasmicjV

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
30,test,na,na,Emotion,.png,target59-target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,30,137788,3,1752,0
23,test,na,na,Emotion,.png,target27-target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,23,140473,7,2172,0
38,test,na,na,Emotion,.png,target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,38,142409,8,1426,0
35,test,na,na,Emotion,.png,target35,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,35,144864,7,1944,0
26,test,na,na,Emotion,.png,target1-target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,26,147506,7,2131,0
39,test,na,na,Emotion,.png,target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,39,149346,5,1329,0
36,test,na,na,Emotion,.png,target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,36,151443,6,1586,0
28,test,na,na,Emotion,.png,target12-target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,28,153486,8,1534,0
27,test,na,na,Emotion,.png,target3-target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,27,155362,9,1365,0
21,test,na,na,Emotion,.png,target2-target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,21,157373,7,1503,0
32,test,na,na,Emotion,.png,target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,32,159574,7,1689,0
24,test,na,na,Emotion,.png,target40-target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,24,161479,8,1395,0
25,test,na,na,Emotion,.png,target56-target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,25,164191,9,2202,0
33,test,na,na,Emotion,.png,target29,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,33,165989,2,1287,0
22,test,na,na,Emotion,.png,target4-target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,22,168237,7,1736,0
40,test,na,na,Emotion,.png,target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,40,170118,6,1370,0
31,test,na,na,Emotion,.png,target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,31,171889,7,1260,0
29,test,na,na,Emotion,.png,target15-target46,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,29,174153,5,1753,0
34,test,na,na,Emotion,.png,target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,34,175861,7,1196,0
37,test,na,na,Emotion,.png,target47,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,37,178254,7,1882,0
11,test,na,na,Intent,.png,target14,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,11,195967,8,1695,0
16,test,na,na,Intent,.png,target41,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,16,198135,8,1657,0
7,test,na,na,Intent,.png,target3-target6,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,7,200290,9,1644,0
6,test,na,na,Intent,.png,target1-target10,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,6,202639,7,1837,0
19,test,na,na,Intent,.png,target55,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,19,205606,7,2456,0
10,test,na,na,Intent,.png,target59-target13,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,26,10,208042,7,1925,0
18,test,na,na,Intent,.png,target54,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,27,18,210842,10,2289,0
15,test,na,na,Intent,.png,target35,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,28,15,213058,11,1705,0
5,test,na,na,Intent,.png,target56-target28,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,29,5,216342,7,2773,0
13,test,na,na,Intent,.png,target29,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,30,13,218643,6,1791,0
2,test,na,na,Intent,.png,target4-target11,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,31,2,220988,7,1834,0
20,test,na,na,Intent,.png,target58,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,32,20,224090,8,2591,0
3,test,na,na,Intent,.png,target27-target57,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,33,3,227881,9,3280,0
14,test,na,na,Intent,.png,target30,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,34,14,230578,7,2186,0
8,test,na,na,Intent,.png,target12-target42,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,35,8,232708,7,1618,0
1,test,na,na,Intent,.png,target2-target49,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,36,1,235136,9,1917,0
17,test,na,na,Intent,.png,target47,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,37,17,238784,8,3137,0
4,test,na,na,Intent,.png,target40-target8,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,38,4,242132,8,2837,0
12,test,na,na,Intent,.png,target16,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,39,12,244752,7,2109,0
9,test,na,na,Intent,.png,target15-target46,1,na,500,1500,1,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,40,9,246928,5,1665,0
63,test,na,na,Meaning,.png,target27-target57,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,41,63,263124,11,2124,0
66,test,na,na,Meaning,.png,target1-target10,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,42,66,266187,2,2552,0
74,test,na,na,Meaning,.png,target30,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,43,74,269051,7,2353,0
73,test,na,na,Meaning,.png,target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,44,73,271275,10,1713,0
70,test,na,na,Meaning,.png,target59-target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,45,70,274179,3,2393,0
64,test,na,na,Meaning,.png,target40-target8,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,46,64,276355,6,1665,0
72,test,na,na,Meaning,.png,target16,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,47,72,278349,8,1483,0
69,test,na,na,Meaning,.png,target15-target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,48,69,280510,2,1650,0
75,test,na,na,Meaning,.png,target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,49,75,283872,8,2852,0
79,test,na,na,Meaning,.png,target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,50,79,285931,11,1547,0
76,test,na,na,Meaning,.png,target41,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,51,76,287924,10,1484,0
67,test,na,na,Meaning,.png,target3-target6,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,52,67,290293,2,1857,0
71,test,na,na,Meaning,.png,target14,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,53,71,292213,8,1409,0
61,test,na,na,Meaning,.png,target2-target49,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,54,61,295220,3,2496,0
77,test,na,na,Meaning,.png,target47,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,55,77,298044,11,2313,0
62,test,na,na,Meaning,.png,target4-target11,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,56,62,300981,9,2426,0
65,test,na,na,Meaning,.png,target56-target28,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,57,65,303651,6,2160,0
78,test,na,na,Meaning,.png,target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,58,78,305468,11,1307,0
68,test,na,na,Meaning,.png,target12-target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,59,68,308016,3,2037,0
80,test,na,na,Meaning,.png,target58,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,60,80,309938,9,1411,0
47,test,na,na,Motion,.png,target3-target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,61,47,322526,11,1205,0
45,test,na,na,Motion,.png,target56-target28,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,62,45,324420,11,1384,0
44,test,na,na,Motion,.png,target40-target8,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,63,44,327946,9,3014,0
50,test,na,na,Motion,.png,target59-target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,64,50,331403,7,2947,0
56,test,na,na,Motion,.png,target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,65,56,333785,9,1871,0
51,test,na,na,Motion,.png,target14,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,66,51,335917,9,1619,0
46,test,na,na,Motion,.png,target1-target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,67,46,338045,10,1617,0
43,test,na,na,Motion,.png,target27-target57,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,68,43,341747,2,3196,0
42,test,na,na,Motion,.png,target4-target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,69,42,343739,10,1481,0
59,test,na,na,Motion,.png,target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,70,59,345947,1,1697,0
60,test,na,na,Motion,.png,target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,71,60,347553,1,1095,0
48,test,na,na,Motion,.png,target12-target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,72,48,350867,10,2804,0
