calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A2T50IRD435JRZ,26,male,right-handed,Indian,Malayalam,8UfQ9Vule7nCLIwX

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
58,test,na,na,Motion,.png,target54,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,58,154118,2,2275,0
47,test,na,na,Motion,.png,target3-target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,47,156820,8,2199,0
59,test,na,na,Motion,.png,target55,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,59,159026,2,1701,0
46,test,na,na,Motion,.png,target1-target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,46,161355,7,1825,0
43,test,na,na,Motion,.png,target27-target57,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,43,164096,5,2237,0
57,test,na,na,Motion,.png,target47,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,57,166976,8,2375,0
51,test,na,na,Motion,.png,target14,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,51,169940,6,2459,0
42,test,na,na,Motion,.png,target4-target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,42,171819,10,1375,0
52,test,na,na,Motion,.png,target16,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,52,175204,8,2880,0
45,test,na,na,Motion,.png,target56-target28,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,45,178028,9,2319,0
56,test,na,na,Motion,.png,target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,56,180708,6,2175,0
53,test,na,na,Motion,.png,target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,53,183062,3,1850,0
50,test,na,na,Motion,.png,target59-target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,50,185220,6,1655,0
41,test,na,na,Motion,.png,target2-target49,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,41,187178,10,1455,0
54,test,na,na,Motion,.png,target30,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,54,189550,8,1868,0
60,test,na,na,Motion,.png,target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,60,192417,5,2362,0
