calibration,id,age,sex,handedness,nationality,Native language,completionCode
1,A2UVDJENOMQN8W,38,female,right-handed,Indian,tamil,RV11ft2Fvjjhs7iL

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
70,test,na,na,Meaning,.png,target59-target13,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,70,74286,7,1300,0
69,test,na,na,Meaning,.png,target15-target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,69,75286,7,489,0
79,test,na,na,Meaning,.png,target55,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,79,76262,7,466,0
73,test,na,na,Meaning,.png,target29,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,73,77254,7,487,0
74,test,na,na,Meaning,.png,target30,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,74,78286,8,526,0
68,test,na,na,Meaning,.png,target12-target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,68,79286,6,493,0
75,test,na,na,Meaning,.png,target35,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,75,80422,9,630,0
78,test,na,na,Meaning,.png,target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,78,81590,5,663,0
80,test,na,na,Meaning,.png,target58,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,80,82614,7,517,0
72,test,na,na,Meaning,.png,target16,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,72,83620,5,500,0
71,test,na,na,Meaning,.png,target14,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,71,84598,7,472,0
