calibration,id,age,sex,handedness,nationality,Native language,completionCode
0.69,A37AJI03M37NPJ,33,male,right-handed,American,English,X8BH6et5YFEj8JNt

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
50,test,na,na,Motion,.png,target59-target13,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,50,212432,6,2319,0
47,test,na,na,Motion,.png,target3-target6,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,47,214718,8,1748,0
55,test,na,na,Motion,.png,target35,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,55,216954,7,1714,0
53,test,na,na,Motion,.png,target29,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,53,223125,5,5643,0
54,test,na,na,Motion,.png,target30,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,54,225869,6,2218,0
52,test,na,na,Motion,.png,target16,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,52,228754,7,2344,0
48,test,na,na,Motion,.png,target12-target42,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,48,231577,8,2296,0
42,test,na,na,Motion,.png,target4-target11,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,42,234304,9,2190,0
46,test,na,na,Motion,.png,target1-target10,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,46,236562,7,1742,0
60,test,na,na,Motion,.png,target58,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,60,238903,5,1810,0
56,test,na,na,Motion,.png,target41,1,na,500,1500,3,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,56,240945,5,1519,0
