calibration,id,age,sex,handedness,nationality,Native language,completionCode
1.37,A5DSYVNGYLCA5,25,male,right-handed,INDIA,TAMIL,vnnJJrvzNUsuRfwr

trialNo,type,title,content,trialText,stimFormat,stim1,fixation,key,ITI,presTime,randomBlock,random,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,responseType,responseOptions,bgColor,textColor,orderPres,orderFile,timestamp,response,RT,correct
33,test,na,na,Emotion,.png,target29,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,1,33,389083,8,1885,0
37,test,na,na,Emotion,.png,target47,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,2,37,391659,7,2068,0
40,test,na,na,Emotion,.png,target58,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,3,40,393683,9,1516,0
22,test,na,na,Emotion,.png,target4-target11,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,4,22,396323,8,2131,0
26,test,na,na,Emotion,.png,target1-target10,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,5,26,398186,9,1356,0
24,test,na,na,Emotion,.png,target40-target8,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,6,24,400179,7,1486,0
38,test,na,na,Emotion,.png,target54,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,7,38,401899,9,1213,0
36,test,na,na,Emotion,.png,target41,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,8,36,403451,10,1044,0
34,test,na,na,Emotion,.png,target30,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,9,34,405411,10,1453,0
35,test,na,na,Emotion,.png,target35,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,10,35,407051,8,1133,0
29,test,na,na,Emotion,.png,target15-target46,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,11,29,408723,10,1165,0
32,test,na,na,Emotion,.png,target16,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,12,32,410418,9,1188,0
28,test,na,na,Emotion,.png,target12-target42,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,13,28,412010,9,1084,0
23,test,na,na,Emotion,.png,target27-target57,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,14,23,413578,10,1060,0
21,test,na,na,Emotion,.png,target2-target49,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,15,21,415386,9,1300,0
39,test,na,na,Emotion,.png,target55,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,16,39,416810,8,916,0
30,test,na,na,Emotion,.png,target59-target13,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,17,30,418323,9,1004,0
25,test,na,na,Emotion,.png,target56-target28,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,18,25,420099,9,1269,0
31,test,na,na,Emotion,.png,target14,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,19,31,421635,6,1029,0
27,test,na,na,Emotion,.png,target3-target6,1,na,500,1500,2,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,20,27,423447,8,1301,0
68,test,na,na,Meaning,.png,target12-target42,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,21,68,449683,8,1812,0
65,test,na,na,Meaning,.png,target56-target28,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,22,65,452260,9,2070,0
66,test,na,na,Meaning,.png,target1-target10,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,23,66,454395,7,1628,0
78,test,na,na,Meaning,.png,target54,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,24,78,458683,8,3780,0
69,test,na,na,Meaning,.png,target15-target46,1,na,500,1500,4,1,0,1,2,3,4,5,6,7,8,9,10,na,na,white,black,25,69,461227,7,2037,0
