"Subject","Group","Trial","Direction","BodiesRelation","Duration"
"zp01","mother",1,"Ambig/Other","",7
"zp01","mother",1,"Offscreen","",8
"zp01","mother",1,"Right","facing",88
"zp01","mother",1,"Left","facing_away",57
"zp01","mother",2,"Ambig/Other","",13
"zp01","mother",2,"Offscreen","",67
"zp01","mother",2,"Left","facing",24
"zp01","mother",2,"Right","facing_away",56
"zp01","mother",3,"Centre","",6
"zp01","mother",3,"Offscreen","",63
"zp01","mother",3,"Right","facing",61
"zp01","mother",3,"Left","facing_away",30
"zp01","mother",4,"Centre","",4
"zp01","mother",4,"Offscreen","",109
"zp01","mother",4,"Left","facing",23
"zp01","mother",4,"Right","facing_away",24
"zp01","mother",5,"Ambig/Other","",20
"zp01","mother",5,"Centre","",11
"zp01","mother",5,"Offscreen","",71
"zp01","mother",5,"Right","facing",31
"zp01","mother",5,"Left","facing_away",29
"zp01","mother",6,"Ambig/Other","",30
"zp01","mother",6,"Centre","",13
"zp01","mother",6,"Offscreen","",90
"zp01","mother",6,"Left","facing",21
"zp01","mother",6,"Right","facing_away",9
"zp01","mother",7,"Ambig/Other","",57
"zp01","mother",7,"Offscreen","",69
"zp01","mother",7,"Right","facing",19
"zp01","mother",7,"Left","facing_away",17
"zp01","mother",8,"Ambig/Other","",31
"zp01","mother",8,"Offscreen","",65
"zp01","mother",8,"Left","facing",48
"zp01","mother",8,"Right","facing_away",14
"zp01","mother",9,"Centre","",5
"zp01","mother",9,"Offscreen","",138
"zp01","mother",9,"Right","facing",18
"zp01","mother",10,"Ambig/Other","",13
"zp01","mother",10,"Offscreen","",103
"zp01","mother",10,"Left","facing",23
"zp01","mother",10,"Right","facing_away",19
"zp02","nursery",1,"Ambig/Other","",38
"zp02","nursery",1,"Offscreen","",5
"zp02","nursery",1,"Left","facing",72
"zp02","nursery",1,"Right","facing_away",44
"zp02","nursery",2,"Ambig/Other","",30
"zp02","nursery",2,"Offscreen","",57
"zp02","nursery",2,"Right","facing",33
"zp02","nursery",2,"Left","facing_away",40
"zp02","nursery",3,"Ambig/Other","",95
"zp02","nursery",3,"Centre","",9
"zp02","nursery",3,"Offscreen","",17
"zp02","nursery",3,"Left","facing",22
"zp02","nursery",3,"Right","facing_away",19
"zp02","nursery",4,"Ambig/Other","",41
"zp02","nursery",4,"Offscreen","",80
"zp02","nursery",4,"Right","facing",28
"zp02","nursery",4,"Left","facing_away",12
"zp02","nursery",5,"Ambig/Other","",36
"zp02","nursery",5,"Offscreen","",92
"zp02","nursery",5,"Left","facing",23
"zp02","nursery",5,"Right","facing_away",9
"zp02","nursery",6,"Ambig/Other","",107
"zp02","nursery",6,"Offscreen","",42
"zp02","nursery",6,"Right","facing",11
"zp02","nursery",7,"Ambig/Other","",13
"zp02","nursery",7,"Centre","",10
"zp02","nursery",7,"Offscreen","",103
"zp02","nursery",7,"Left","facing",12
"zp02","nursery",7,"Right","facing_away",23
"zp02","nursery",8,"Ambig/Other","",8
"zp02","nursery",8,"Offscreen","",125
"zp02","nursery",8,"Right","facing",6
"zp02","nursery",8,"Left","facing_away",20
"zp02","nursery",9,"Ambig/Other","",19
"zp02","nursery",9,"Offscreen","",48
"zp02","nursery",9,"Left","facing",66
"zp02","nursery",9,"Right","facing_away",29
"zp02","nursery",10,"Offscreen","",94
"zp02","nursery",10,"Right","facing",42
"zp02","nursery",10,"Left","facing_away",25
"zp04","mother",1,"Ambig/Other","",19
"zp04","mother",1,"Offscreen","",48
"zp04","mother",1,"Left","facing",41
"zp04","mother",1,"Right","facing_away",52
"zp04","mother",2,"Offscreen","",59
"zp04","mother",2,"Right","facing",56
"zp04","mother",2,"Left","facing_away",44
"zp04","mother",3,"Centre","",9
"zp04","mother",3,"Offscreen","",40
"zp04","mother",3,"Left","facing",54
"zp04","mother",3,"Right","facing_away",49
"zp04","mother",4,"Centre","",11
"zp04","mother",4,"Offscreen","",14
"zp04","mother",4,"Right","facing",105
"zp04","mother",4,"Left","facing_away",30
"zp04","mother",5,"Ambig/Other","",159
"zp04","mother",6,"Ambig/Other","",93
"zp04","mother",6,"Offscreen","",27
"zp04","mother",6,"Right","facing",31
"zp04","mother",6,"Left","facing_away",11
"zp04","mother",7,"Offscreen","",68
"zp04","mother",7,"Left","facing",48
"zp04","mother",7,"Right","facing_away",44
"zp04","mother",8,"Ambig/Other","",31
"zp04","mother",8,"Centre","",8
"zp04","mother",8,"Offscreen","",49
"zp04","mother",8,"Right","facing",35
"zp04","mother",8,"Left","facing_away",37
"zp04","mother",9,"Ambig/Other","",13
"zp04","mother",9,"Offscreen","",113
"zp04","mother",9,"Left","facing",17
"zp04","mother",9,"Right","facing_away",14
"zp04","mother",10,"Ambig/Other","",14
"zp04","mother",10,"Centre","",4
"zp04","mother",10,"Offscreen","",116
"zp04","mother",10,"Right","facing",8
"zp04","mother",10,"Left","facing_away",18
"zp05","mother",1,"Ambig/Other","",10
"zp05","mother",1,"Offscreen","",90
"zp05","mother",1,"Right","facing",41
"zp05","mother",1,"Left","facing_away",19
"zp05","mother",2,"Offscreen","",101
"zp05","mother",2,"Left","facing",45
"zp05","mother",2,"Right","facing_away",21
"zp05","mother",3,"Ambig/Other","",12
"zp05","mother",3,"Offscreen","",42
"zp05","mother",3,"Right","facing",49
"zp05","mother",3,"Left","facing_away",57
"zp05","mother",4,"Offscreen","",144
"zp05","mother",4,"Right","facing_away",15
"zp05","mother",5,"Offscreen","",155
"zp05","mother",5,"Left","facing_away",6
"zp05","mother",6,"Offscreen","",162
"zp05","mother",7,"Offscreen","",160
"zp05","mother",8,"Offscreen","",146
"zp05","mother",8,"Right","facing_away",15
"zp05","mother",9,"Offscreen","",146
"zp05","mother",9,"Right","facing",20
"zp05","mother",10,"Ambig/Other","",10
"zp05","mother",10,"Centre","",7
"zp05","mother",10,"Offscreen","",108
"zp05","mother",10,"Left","facing",17
"zp05","mother",10,"Right","facing_away",23
"zp07","nursery",1,"Ambig/Other","",79
"zp07","nursery",1,"Offscreen","",19
"zp07","nursery",1,"Right","facing",31
"zp07","nursery",1,"Left","facing_away",31
"zp07","nursery",2,"Offscreen","",29
"zp07","nursery",2,"Left","facing",57
"zp07","nursery",2,"Right","facing_away",75
"zp07","nursery",3,"Ambig/Other","",6
"zp07","nursery",3,"Offscreen","",34
"zp07","nursery",3,"Right","facing",86
"zp07","nursery",3,"Left","facing_away",34
"zp07","nursery",4,"Centre","",6
"zp07","nursery",4,"Offscreen","",14
"zp07","nursery",4,"Left","facing",54
"zp07","nursery",4,"Right","facing_away",86
"zp07","nursery",5,"Offscreen","",118
"zp07","nursery",5,"Right","facing",27
"zp07","nursery",5,"Left","facing_away",15
"zp07","nursery",6,"Offscreen","",118
"zp07","nursery",6,"Left","facing",27
"zp07","nursery",6,"Right","facing_away",13
"zp07","nursery",7,"Ambig/Other","",34
"zp07","nursery",7,"Offscreen","",94
"zp07","nursery",7,"Right","facing",19
"zp07","nursery",7,"Left","facing_away",13
"zp07","nursery",8,"Ambig/Other","",4
"zp07","nursery",8,"Centre","",3
"zp07","nursery",8,"Offscreen","",124
"zp07","nursery",8,"Left","facing",19
"zp07","nursery",8,"Right","facing_away",10
"zp07","nursery",9,"Ambig/Other","",10
"zp07","nursery",9,"Offscreen","",105
"zp07","nursery",9,"Right","facing",22
"zp07","nursery",9,"Left","facing_away",23
"zp07","nursery",10,"Ambig/Other","",18
"zp07","nursery",10,"Offscreen","",67
"zp07","nursery",10,"Left","facing",13
"zp07","nursery",10,"Right","facing_away",60
"zp08","nursery",1,"Ambig/Other","",33
"zp08","nursery",1,"Offscreen","",128
"zp08","nursery",2,"Ambig/Other","",26
"zp08","nursery",2,"Offscreen","",134
"zp08","nursery",3,"Ambig/Other","",32
"zp08","nursery",3,"Offscreen","",113
"zp08","nursery",3,"Left","facing",5
"zp08","nursery",3,"Right","facing_away",9
"zp08","nursery",4,"Ambig/Other","",18
"zp08","nursery",4,"Offscreen","",140
"zp08","nursery",5,"Ambig/Other","",27
"zp08","nursery",5,"Offscreen","",133
"zp08","nursery",6,"Offscreen","",137
"zp08","nursery",6,"Left","facing_away",21
"zp08","nursery",7,"Ambig/Other","",12
"zp08","nursery",7,"Offscreen","",149
"zp08","nursery",8,"Offscreen","",144
"zp08","nursery",8,"Right","facing",8
"zp08","nursery",8,"Left","facing_away",8
"zp08","nursery",9,"Ambig/Other","",2
"zp08","nursery",9,"Offscreen","",158
"zp08","nursery",10,"Offscreen","",160
"zp10","mother",1,"Ambig/Other","",13
"zp10","mother",1,"Offscreen","",41
"zp10","mother",1,"Left","facing",61
"zp10","mother",1,"Right","facing_away",48
"zp10","mother",2,"Centre","",2
"zp10","mother",2,"Offscreen","",31
"zp10","mother",2,"Right","facing",94
"zp10","mother",2,"Left","facing_away",32
"zp10","mother",3,"Ambig/Other","",4
"zp10","mother",3,"Offscreen","",105
"zp10","mother",3,"Left","facing",28
"zp10","mother",3,"Right","facing_away",23
"zp10","mother",4,"Ambig/Other","",11
"zp10","mother",4,"Offscreen","",148
"zp10","mother",5,"Ambig/Other","",21
"zp10","mother",5,"Offscreen","",108
"zp10","mother",5,"Left","facing",6
"zp10","mother",5,"Right","facing_away",25
"zp10","mother",6,"Offscreen","",129
"zp10","mother",6,"Right","facing",21
"zp10","mother",6,"Left","facing_away",10
"zp10","mother",7,"Ambig/Other","",13
"zp10","mother",7,"Offscreen","",90
"zp10","mother",7,"Left","facing",21
"zp10","mother",7,"Right","facing_away",40
"zp10","mother",8,"Ambig/Other","",24
"zp10","mother",8,"Offscreen","",92
"zp10","mother",8,"Right","facing",36
"zp10","mother",8,"Left","facing_away",10
"zp10","mother",9,"Offscreen","",87
"zp10","mother",9,"Left","facing",49
"zp10","mother",9,"Right","facing_away",24
"zp10","mother",10,"Ambig/Other","",25
"zp10","mother",10,"Centre","",2
"zp10","mother",10,"Offscreen","",116
"zp10","mother",10,"Left","facing_away",17
"zp11","mother",1,"Ambig/Other","",39
"zp11","mother",1,"Centre","",12
"zp11","mother",1,"Right","facing",34
"zp11","mother",1,"Left","facing_away",75
"zp11","mother",2,"Ambig/Other","",2
"zp11","mother",2,"Offscreen","",17
"zp11","mother",2,"Left","facing",109
"zp11","mother",2,"Right","facing_away",33
"zp11","mother",3,"Offscreen","",12
"zp11","mother",3,"Right","facing",50
"zp11","mother",3,"Left","facing_away",96
"zp11","mother",4,"Ambig/Other","",29
"zp11","mother",4,"Offscreen","",57
"zp11","mother",4,"Left","facing",44
"zp11","mother",4,"Right","facing_away",31
"zp11","mother",5,"Ambig/Other","",17
"zp11","mother",5,"Offscreen","",128
"zp11","mother",5,"Right","facing",5
"zp11","mother",5,"Left","facing_away",5
"zp11","mother",6,"Ambig/Other","",14
"zp11","mother",6,"Left","facing",90
"zp11","mother",6,"Right","facing_away",52
"zp11","mother",7,"Ambig/Other","",24
"zp11","mother",7,"Offscreen","",125
"zp11","mother",7,"Right","facing",5
"zp11","mother",7,"Left","facing_away",5
"zp11","mother",8,"Ambig/Other","",16
"zp11","mother",8,"Offscreen","",79
"zp11","mother",8,"Left","facing",46
"zp11","mother",8,"Right","facing_away",20
"zp11","mother",9,"Ambig/Other","",22
"zp11","mother",9,"Offscreen","",52
"zp11","mother",9,"Right","facing",57
"zp11","mother",9,"Left","facing_away",27
"zp11","mother",10,"Ambig/Other","",12
"zp11","mother",10,"Left","facing",77
"zp11","mother",10,"Right","facing_away",70
"zp12","nursery",1,"Offscreen","",113
"zp12","nursery",1,"Left","facing",13
"zp12","nursery",1,"Right","facing_away",33
"zp12","nursery",2,"Ambig/Other","",57
"zp12","nursery",2,"Offscreen","",59
"zp12","nursery",2,"Right","facing",34
"zp12","nursery",2,"Left","facing_away",8
"zp12","nursery",3,"Ambig/Other","",12
"zp12","nursery",3,"Offscreen","",125
"zp12","nursery",3,"Left","facing",5
"zp12","nursery",3,"Right","facing_away",19
"zp12","nursery",4,"Offscreen","",149
"zp12","nursery",4,"Right","facing",3
"zp12","nursery",4,"Left","facing_away",7
"zp12","nursery",5,"Offscreen","",103
"zp12","nursery",5,"Left","facing",33
"zp12","nursery",5,"Right","facing_away",23
"zp12","nursery",6,"Ambig/Other","",14
"zp12","nursery",6,"Offscreen","",115
"zp12","nursery",6,"Right","facing",25
"zp12","nursery",6,"Left","facing_away",7
"zp12","nursery",7,"Ambig/Other","",9
"zp12","nursery",7,"Offscreen","",151
"zp12","nursery",8,"Offscreen","",158
"zp12","nursery",9,"Offscreen","",159
"zp12","nursery",10,"Ambig/Other","",9
"zp12","nursery",10,"Offscreen","",126
"zp12","nursery",10,"Right","facing",17
"zp12","nursery",10,"Left","facing_away",7
"zp14","mother",1,"Ambig/Other","",7
"zp14","mother",1,"Centre","",4
"zp14","mother",1,"Offscreen","",120
"zp14","mother",1,"Left","facing",17
"zp14","mother",1,"Right","facing_away",12
"zp14","mother",2,"Ambig/Other","",5
"zp14","mother",2,"Centre","",5
"zp14","mother",2,"Offscreen","",120
"zp14","mother",2,"Right","facing",7
"zp14","mother",2,"Left","facing_away",22
"zp14","mother",3,"Centre","",8
"zp14","mother",3,"Offscreen","",98
"zp14","mother",3,"Left","facing",35
"zp14","mother",3,"Right","facing_away",18
"zp14","mother",4,"Ambig/Other","",2
"zp14","mother",4,"Offscreen","",156
"zp14","mother",5,"Offscreen","",128
"zp14","mother",5,"Left","facing",10
"zp14","mother",5,"Right","facing_away",21
"zp14","mother",6,"Offscreen","",137
"zp14","mother",6,"Right","facing",12
"zp14","mother",6,"Left","facing_away",9
"zp14","mother",7,"Offscreen","",150
"zp14","mother",7,"Right","facing_away",10
"zp14","mother",8,"Ambig/Other","",5
"zp14","mother",8,"Centre","",9
"zp14","mother",8,"Offscreen","",129
"zp14","mother",8,"Right","facing",12
"zp14","mother",8,"Left","facing_away",5
"zp14","mother",9,"Centre","",3
"zp14","mother",9,"Offscreen","",121
"zp14","mother",9,"Left","facing",7
"zp14","mother",9,"Right","facing_away",31
"zp14","mother",10,"Ambig/Other","",32
"zp14","mother",10,"Offscreen","",96
"zp14","mother",10,"Right","facing",21
"zp14","mother",10,"Left","facing_away",12
"zp15","nursery",1,"Ambig/Other","",12
"zp15","nursery",1,"Offscreen","",152
"zp15","nursery",2,"Ambig/Other","",24
"zp15","nursery",2,"Offscreen","",136
"zp15","nursery",3,"Ambig/Other","",94
"zp15","nursery",3,"Right","facing",50
"zp15","nursery",3,"Left","facing_away",17
"zp15","nursery",4,"Ambig/Other","",19
"zp15","nursery",4,"Offscreen","",98
"zp15","nursery",4,"Left","facing",24
"zp15","nursery",4,"Right","facing_away",20
"zp15","nursery",5,"Ambig/Other","",12
"zp15","nursery",5,"Centre","",2
"zp15","nursery",5,"Offscreen","",15
"zp15","nursery",5,"Right","facing",108
"zp15","nursery",5,"Left","facing_away",24
"zp15","nursery",6,"Offscreen","",162
"zp15","nursery",7,"Ambig/Other","",93
"zp15","nursery",7,"Offscreen","",19
"zp15","nursery",7,"Right","facing",44
"zp15","nursery",7,"Left","facing_away",5
"zp15","nursery",8,"Offscreen","",159
"zp15","nursery",9,"Ambig/Other","",41
"zp15","nursery",9,"Centre","",7
"zp15","nursery",9,"Offscreen","",81
"zp15","nursery",9,"Right","facing",17
"zp15","nursery",9,"Left","facing_away",12
"zp15","nursery",10,"Offscreen","",158
"zp16","nursery",1,"Ambig/Other","",35
"zp16","nursery",1,"Offscreen","",78
"zp16","nursery",1,"Left","facing",36
"zp16","nursery",1,"Right","facing_away",14
"zp16","nursery",2,"Ambig/Other","",65
"zp16","nursery",2,"Offscreen","",67
"zp16","nursery",2,"Right","facing",16
"zp16","nursery",2,"Left","facing_away",12
"zp16","nursery",3,"Ambig/Other","",9
"zp16","nursery",3,"Offscreen","",96
"zp16","nursery",3,"Left","facing",34
"zp16","nursery",3,"Right","facing_away",22
"zp16","nursery",4,"Ambig/Other","",10
"zp16","nursery",4,"Offscreen","",59
"zp16","nursery",4,"Right","facing",46
"zp16","nursery",4,"Left","facing_away",46
"zp16","nursery",5,"Offscreen","",161
"zp16","nursery",6,"Ambig/Other","",36
"zp16","nursery",6,"Offscreen","",107
"zp16","nursery",6,"Right","facing",2
"zp16","nursery",6,"Left","facing_away",14
"zp16","nursery",7,"Ambig/Other","",5
"zp16","nursery",7,"Offscreen","",142
"zp16","nursery",7,"Left","facing",9
"zp16","nursery",7,"Right","facing_away",5
"zp16","nursery",8,"Offscreen","",149
"zp16","nursery",8,"Right","facing",12
"zp16","nursery",9,"Ambig/Other","",8
"zp16","nursery",9,"Centre","",5
"zp16","nursery",9,"Offscreen","",113
"zp16","nursery",9,"Left","facing",16
"zp16","nursery",9,"Right","facing_away",19
"zp16","nursery",10,"Ambig/Other","",5
"zp16","nursery",10,"Offscreen","",155
"zp18","mother",1,"Ambig/Other","",16
"zp18","mother",1,"Offscreen","",62
"zp18","mother",1,"Right","facing",58
"zp18","mother",1,"Left","facing_away",26
"zp18","mother",2,"Centre","",7
"zp18","mother",2,"Left","facing",109
"zp18","mother",2,"Right","facing_away",43
"zp18","mother",3,"Offscreen","",145
"zp18","mother",3,"Right","facing",12
"zp18","mother",3,"Left","facing_away",4
"zp18","mother",4,"Ambig/Other","",29
"zp18","mother",4,"Offscreen","",127
"zp18","mother",5,"Offscreen","",161
"zp18","mother",6,"Ambig/Other","",25
"zp18","mother",6,"Offscreen","",113
"zp18","mother",6,"Left","facing",20
"zp18","mother",7,"Ambig/Other","",53
"zp18","mother",7,"Centre","",2
"zp18","mother",7,"Offscreen","",99
"zp18","mother",7,"Right","facing",5
"zp18","mother",8,"Ambig/Other","",4
"zp18","mother",8,"Offscreen","",154
"zp18","mother",9,"Ambig/Other","",10
"zp18","mother",9,"Offscreen","",55
"zp18","mother",9,"Right","facing",70
"zp18","mother",9,"Left","facing_away",26
"zp18","mother",10,"Offscreen","",158
"zp19","nursery",1,"Ambig/Other","",24
"zp19","nursery",1,"Offscreen","",146
"zp19","nursery",2,"Offscreen","",129
"zp19","nursery",2,"Right","facing",19
"zp19","nursery",2,"Left","facing_away",11
