Trial,Direction,Start Frame,End Frame
1,Offscreen,0,20
1,Ambig/Other,21,26
1,Left,27,33
1,Right,34,39
1,Offscreen,40,54
1,Right,55,60
1,Left,61,71
1,Offscreen,72,83
1,Left,84,89
1,Right,90,115
1,Left,116,132
1,Right,133,142
1,Ambig/Other,143,155
1,Right,156,159
2,Offscreen,0,7
2,Left,8,41
2,Right,42,72
2,Offscreen,73,83
2,Left,84,93
2,Right,94,118
2,Offscreen,119,158
3,Centre,0,8
3,Right,9,22
3,Left,23,69
3,Right,70,104
3,Offscreen,105,132
3,Left,141,147
3,Offscreen,148,159
4,Centre,0,10
4,Right,11,77
4,Left,78,86
4,Offscreen,87,100
4,Left,101,113
4,Right,114,151
4,Left,152,159
5,Ambig/Other,0,158
6,Ambig/Other,0,62
6,Left,63,73
6,Right,74,96
6,Offscreen,97,123
6,Ambig/Other,124,153
6,Right,154,161
7,Offscreen,0,8
7,Right,9,33
7,Left,34,48
7,Offscreen,49,69
7,Left,70,83
7,Offscreen,84,117
7,Left,118,136
7,Right,137,155
7,Offscreen,156,159
8,Centre,0,7
8,Left,8,32
8,Right,33,64
8,Ambig/Other,65,95
8,Right,96,98
8,Left,99,110
8,Offscreen,111,159
9,Offscreen,0,32
9,Ambig/Other,33,37
9,Right,38,43
9,Left,44,60
9,Right,61,68
9,Offscreen,69,98
9,Ambig/Other,99,106
9,Offscreen,107,156
10,Centre,0,3
10,Right,4,11
10,Left,12,29
10,Ambig/Other,30,43
10,Offscreen,44,159
