Trial,Direction,Start Frame,End Frame
1,Offscreen,0,97
1,Right,98,116
1,Left,117,154
1,Right,155,161
2,Offscreen,0,28
2,Ambig/Other,29,59
2,Right,60,79
2,Ambig/Other,80,103
2,Right,104,107
2,Left,108,119
2,Offscreen,120,161
3,Offscreen,0,11
3,Ambig/Other,12,18
3,Offscreen,19,117
3,Right,118,136
3,Offscreen,137,160
4,Ambig/Other,0,8
4,Right,9,11
4,Ambig/Other,12,23
4,Offscreen,24,157
5,Offscreen,0,59
5,Ambig/Other,60,71
5,Offscreen,72,160
6,Offscreen,0,80
6,Right,81,90
6,Offscreen,91,162
7,Offscreen,0,5
7,Right,6,9
7,Left,10,18
7,Offscreen,19,158
8,Offscreen,0,160
9,Offscreen,0,158
10,Offscreen,0,160
